四季嗅探,#genre#
東森購物四台,https://www.4gtv.tv/channel/4gtv-live049?set=1&ch=286
采昌影劇台,https://www.4gtv.tv/channel/4gtv-4gtv049?set=1&ch=25
金光布袋戲,https://www.4gtv.tv/channel/4gtv-live144?set=1&ch=236
客家電視台,https://www.4gtv.tv/channel/4gtv-4gtv043?set=1&ch=107
原住民族電視台,https://www.4gtv.tv/channel/4gtv-live014?set=1&ch=273
時尚運動X,https://www.4gtv.tv/channel/4gtv-4gtv014?set=1&ch=69
國會頻道1,https://www.4gtv.tv/channel/4gtv-4gtv084?set=1&ch=170
國會頻道2,https://www.4gtv.tv/channel/4gtv-4gtv085?set=1&ch=171
智林體育台,https://www.4gtv.tv/channel/4gtv-4gtv101?set=1&ch=58
華視,https://www.4gtv.tv/channel/4gtv-4gtv041?set=1&ch=6
華視新聞,https://www.4gtv.tv/channel/4gtv-4gtv052?set=1&ch=34
視納華仁紀實頻道,https://www.4gtv.tv/channel/4gtv-4gtv013?set=1&ch=38
愛爾達生活旅遊台,https://www.4gtv.tv/channel/4gtv-live120?set=1&ch=237
愛爾達娛樂台,https://www.4gtv.tv/channel/4gtv-4gtv070?set=1&ch=19
新唐人亞太台,https://www.4gtv.tv/channel/4gtv-live050?set=1&ch=223
經典卡通台,https://www.4gtv.tv/channel/4gtv-live022?set=1&ch=202
經典電影台,https://www.4gtv.tv/channel/4gtv-live021?set=1&ch=201
達文西頻道,https://www.4gtv.tv/channel/4gtv-4gtv018?set=1&ch=11
電影原聲台CMusic,https://www.4gtv.tv/channel/4gtv-live031?set=1&ch=218
靖天日本台,https://www.4gtv.tv/channel/4gtv-4gtv047?set=1&ch=22
靖天卡通台,https://www.4gtv.tv/channel/4gtv-4gtv044?set=1&ch=15
靖天育樂台,https://www.4gtv.tv/channel/4gtv-4gtv062?set=1&ch=83
靖天映畫台,https://www.4gtv.tv/channel/4gtv-4gtv055?set=1&ch=42
靖天國際台,https://www.4gtv.tv/channel/4gtv-4gtv063?set=1&ch=84
靖天資訊台,https://www.4gtv.tv/channel/4gtv-4gtv065?set=1&ch=88
靖天電影台,https://www.4gtv.tv/channel/4gtv-4gtv061?set=1&ch=82
靖天綜合台,https://www.4gtv.tv/channel/4gtv-4gtv046?set=1&ch=21
靖天戲劇台,https://www.4gtv.tv/channel/4gtv-4gtv058?set=1&ch=116
靖天歡樂台,https://www.4gtv.tv/channel/4gtv-4gtv054?set=1&ch=119
靖洋卡通台,https://www.4gtv.tv/channel/4gtv-4gtv057?set=1&ch=59
靖洋戲劇台,https://www.4gtv.tv/channel/4gtv-4gtv045?set=1&ch=118
滾動力rollor,https://www.4gtv.tv/channel/4gtv-live012?set=1&ch=249
精選動漫台,https://www.4gtv.tv/channel/4gtv-live024?set=1&ch=204
影迷數位紀實台,https://www.4gtv.tv/channel/litv-ftv15?set=1&ch=445
影迷數位電影台,https://www.4gtv.tv/channel/4gtv-4gtv011?set=1&ch=40
豬哥亮歌廳秀,https://www.4gtv.tv/channel/4gtv-4gtv006?set=1&ch=113
寰宇財經台,https://www.4gtv.tv/channel/4gtv-4gtv158?set=1&ch=281
寰宇新聞台,https://www.4gtv.tv/channel/litv-longturn14?set=1&ch=36
寰宇新聞台灣台,https://www.4gtv.tv/channel/4gtv-4gtv156?set=1&ch=280
戲劇免費看 1台,https://www.4gtv.tv/channel/4gtv-live010?set=1&ch=270
韓國娛樂台 KMTV,https://www.4gtv.tv/channel/4gtv-4gtv016?set=1&ch=446
鏡電視新聞台,https://www.4gtv.tv/channel/4gtv-4gtv075?set=1&ch=268
霹靂布袋戲,https://www.4gtv.tv/channel/4gtv-live145?set=1&ch=301

FastTV飛速看,#genre#
parse=1
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36

市井豪門,https://www.4gtv.tv/channel/fast-live001?set=4&ch=341
戲說台灣,https://www.4gtv.tv/channel/fast-live002?set=4&ch=342
中視經典戲劇,https://www.4gtv.tv/channel/fast-live003?set=4&ch=328
花系列戲劇,https://www.4gtv.tv/channel/fast-live004?set=4&ch=329
華視好劇,https://www.4gtv.tv/channel/fast-live005?set=4&ch=330
公視好劇,https://www.4gtv.tv/channel/fast-live006?set=4&ch=337
客家好劇,https://www.4gtv.tv/channel/fast-live007?set=4&ch=346
懷舊經典電影,https://www.4gtv.tv/channel/fast-live008?set=4&ch=333
精選華語電影,https://www.4gtv.tv/channel/fast-live009?set=4&ch=335
台灣靈異事件,https://www.4gtv.tv/channel/fast-live010?set=4&ch=326
新兵日記,https://www.4gtv.tv/channel/fast-live011?set=4&ch=382
以家人之名,https://www.4gtv.tv/channel/fast-live012?set=4&ch=383
加油喜事,https://www.4gtv.tv/channel/fast-live013?set=4&ch=384
去有風的地方,https://www.4gtv.tv/channel/fast-live014?set=4&ch=386
多情城市,https://www.4gtv.tv/channel/fast-live015?set=4&ch=389
黃金歲月,https://www.4gtv.tv/channel/fast-live016?set=4&ch=392
花千骨,https://www.4gtv.tv/channel/fast-live017?set=4&ch=397
別打擾我種田,https://www.4gtv.tv/channel/fast-live018?set=4&ch=398
5566偶像劇,https://www.4gtv.tv/channel/fast-live019?set=4&ch=399
不敗愛情偶像劇,https://www.4gtv.tv/channel/fast-live020?set=4&ch=401
國外電影精選,https://www.4gtv.tv/channel/fast-live021?set=4&ch=414
日韓電影大賞,https://www.4gtv.tv/channel/fast-live022?set=4&ch=415
大愛精選,https://www.4gtv.tv/channel/fast-live023?set=4&ch=416
飛龍在天,https://www.4gtv.tv/channel/fast-live024?set=4&ch=417
女士的品格,https://www.4gtv.tv/channel/fast-live025?set=4&ch=418
台灣傳奇,https://www.4gtv.tv/channel/fast-live026?set=4&ch=419
小資女孩向前衝,https://www.4gtv.tv/channel/fast-live027?set=4&ch=420
世間路,https://www.4gtv.tv/channel/fast-live028?set=4&ch=421
恐怖電影,https://www.4gtv.tv/channel/fast-live029?set=4&ch=422
古裝武俠劇,https://www.4gtv.tv/channel/fast-live030?set=4&ch=423
以愛為營,https://www.4gtv.tv/channel/fast-live031?set=4&ch=424
藍色水玲瓏,https://www.4gtv.tv/channel/fast-live032?set=4&ch=425
精彩陸劇,https://www.4gtv.tv/channel/fast-live033?set=4&ch=426
包青天,https://www.4gtv.tv/channel/fast-live034?set=4&ch=427
007情報員,https://www.4gtv.tv/channel/fast-live035?set=4&ch=439
葉青歌仔戲,https://www.4gtv.tv/channel/fast-live038?set=4&ch=451
大兵日記,https://www.4gtv.tv/channel/fast-live039?set=4&ch=452
親戚不計較(特輯),https://www.4gtv.tv/channel/fast-live040?set=4&ch=453
天才衝衝衝,https://www.4gtv.tv/channel/fast-live201?set=4&ch=343
一字千金,https://www.4gtv.tv/channel/fast-live202?set=4&ch=344
綜藝大集合,https://www.4gtv.tv/channel/fast-live203?set=4&ch=345
女人我最大,https://www.4gtv.tv/channel/fast-live204?set=4&ch=347
食尚玩家,https://www.4gtv.tv/channel/fast-live205?set=4&ch=348
11點熱吵店,https://www.4gtv.tv/channel/fast-live206?set=4&ch=349
WTO姐妹會,https://www.4gtv.tv/channel/fast-live207?set=4&ch=350
威廉沈歡樂送,https://www.4gtv.tv/channel/fast-live208?set=4&ch=435
全家有智慧,https://www.4gtv.tv/channel/fast-live209?set=4&ch=375
少康戰情室,https://www.4gtv.tv/channel/fast-live210?set=4&ch=376
姊妹亮起來,https://www.4gtv.tv/channel/fast-live211?set=4&ch=377
娛樂百分百,https://www.4gtv.tv/channel/fast-live212?set=4&ch=378
超級冰冰Show,https://www.4gtv.tv/channel/fast-live213?set=4&ch=379
豬哥會社,https://www.4gtv.tv/channel/fast-live214?set=4&ch=380
全能歌手,https://www.4gtv.tv/channel/fast-live216?set=4&ch=385
上奅台灣歌,https://www.4gtv.tv/channel/fast-live217?set=4&ch=387
鬥陣大廟埕,https://www.4gtv.tv/channel/fast-live218?set=4&ch=388
我的成長,https://www.4gtv.tv/channel/fast-live219?set=4&ch=390
健康2.0,https://www.4gtv.tv/channel/fast-live220?set=4&ch=391
輕鬆看法律,https://www.4gtv.tv/channel/fast-live221?set=4&ch=393
TVBS看板人物,https://www.4gtv.tv/channel/fast-live222?set=4&ch=394
野蠻遊戲：We Play ,https://www.4gtv.tv/channel/fast-live223?set=4&ch=395
最愛韓星,https://www.4gtv.tv/channel/fast-live224?set=4&ch=396
美食+-x廚,https://www.4gtv.tv/channel/fast-live225?set=4&ch=400
