台灣MOD,#genre#
LUXE奢華頻道,udp://@230.1.2.176:11111
LUXE奢華頻道,udp://@230.1.2.16:11111
Lifetime,udp://@230.1.2.64:11111
Lifetime,udp://@224.1.4.230:11111
靖天國際,udp://@224.1.4.220:11111
靖天國際,udp://@224.1.4.106:11111
GS幸福居家空間,udp://@224.1.4.123:11111
GS幸福居家空間,udp://@230.1.2.141:11111
滾動力Rollor,udp://@224.1.4.236:11111
滾動力Rollor,udp://@230.1.2.70:11111
HGTV居家樂活,udp://@224.1.4.183:11111
HGTV居家樂活,udp://@224.1.4.80:11111
美食星球,udp://@230.1.2.178:11111
美食星球,udp://@224.1.4.19:11111
亞洲美食頻道,udp://@230.1.2.233:11111
亞洲美食頻道,udp://@230.1.2.85:11111
Food Network,udp://@224.1.4.211:11111
Food Network,udp://@224.1.4.57:11111
亞洲旅遊台,udp://@230.1.2.175:11111
亞洲旅遊台,udp://@224.1.4.34:11111
EYE旅遊,udp://@224.1.4.61:11111
EYE旅遊,udp://@230.1.2.135:11111
旅遊頻道,udp://@230.1.2.166:11111
旅遊頻道,udp://@230.1.2.4:11111
Fashion TV,udp://@230.1.2.177:11111
Fashion TV,udp://@230.1.2.25:11111
TV5時尚生活,udp://@224.1.4.208:11111
TV5時尚生活,udp://@224.1.4.108:11111
東森購物1台,udp://@230.1.2.73:11111
東森購物1台,udp://@224.1.4.168:11111
愛爾達綜合,udp://@224.1.4.114:11111
愛爾達綜合,udp://@230.1.2.133:11111
三立綜合,udp://@230.1.2.192:11111
三立綜合,udp://@230.1.2.208:11111
三立綜合,udp://@230.1.2.22:11111
靖天資訊,udp://@224.1.4.30:11111
靖天資訊,udp://@230.1.2.184:11111
靖天綜合,udp://@224.1.4.199:11111
靖天綜合,udp://@224.1.4.104:11111
靖天育樂,udp://@224.1.4.28:11111
靖天育樂,udp://@230.1.2.194:11111
Smart知識台,udp://@224.1.4.171:11111
Smart知識台,udp://@224.1.4.22:11111
台視綜合,udp://@224.1.4.170:11111
台視綜合,udp://@224.1.4.31:11111
亞洲綜合台,udp://@224.1.4.209:11111
亞洲綜合台,udp://@224.1.4.78:11111
中視經典,udp://@224.1.4.219:11111
中視經典,udp://@224.1.4.33:11111
寰宇綜合,udp://@230.1.2.148:11111
寰宇綜合,udp://@224.1.4.87:11111
中視菁采,udp://@230.1.2.224:11111
中視菁采,udp://@230.1.2.34:11111
TVBS精采,udp://@230.1.2.225:11111
TVBS精采,udp://@230.1.2.35:11111
壹綜合,udp://@230.1.2.220:11111
壹綜合,udp://@230.1.2.40:11111
緯來精采,udp://@224.1.4.222:11111
緯來精采,udp://@230.1.2.72:11111
天天電視,udp://@224.1.4.29:11111
天天電視,udp://@230.1.2.245:11111
ETtoday綜合,udp://@224.1.4.212:11111
ETtoday綜合,udp://@224.1.4.59:11111
民視第一,udp://@224.1.4.218:11111
民視第一,udp://@224.1.4.77:11111
民視台灣,udp://@230.1.2.61:11111
民視台灣,udp://@224.1.4.227:11111
靖天歡樂,udp://@224.1.4.105:11111
靖天歡樂,udp://@230.1.2.241:11111
新唐人亞太,udp://@230.1.2.50:11111
新唐人亞太,udp://@224.1.4.165:11111
八大優頻道,udp://@230.1.2.239:11111
八大優頻道,udp://@224.1.4.86:11111
信吉衛視,udp://@230.1.2.247:11111
信吉衛視,udp://@230.1.2.93:11111
冠軍電視台,udp://@224.1.4.224:11111
冠軍電視台,udp://@230.1.2.74:11111
華藝台灣台,udp://@224.1.4.185:11111
華藝台灣台,udp://@224.1.4.71:11111
信吉藝文,udp://@230.1.2.182:11111
信吉藝文,udp://@230.1.2.28:11111
大立電視,udp://@224.1.4.142:11111
大立電視,udp://@224.1.4.73:11111
富立電視,udp://@224.1.4.138:11111
富立電視,udp://@224.1.4.35:11111
MOMO購物2台,udp://@230.1.2.90:11111
MOMO購物2台,udp://@224.1.4.217:11111
東森購物3台,udp://@230.1.2.171:11111
東森購物3台,udp://@230.1.2.8:11111
三立戲劇,udp://@230.1.2.232:11111
三立戲劇,udp://@230.1.2.44:11111
台灣戲劇台,udp://@230.1.2.154:11111
台灣戲劇台,udp://@224.1.4.62:11111
龍華戲劇,udp://@224.1.4.41:11111
龍華戲劇,udp://@230.1.2.149:11111
龍華偶像,udp://@224.1.4.39:11111
龍華偶像,udp://@230.1.2.156:11111
龍華影劇,udp://@230.1.2.167:11111
龍華影劇,udp://@230.1.2.5:11111
愛爾達影劇,udp://@224.1.4.113:11111
愛爾達影劇,udp://@230.1.2.132:11111
靖天戲劇,udp://@224.1.4.40:11111
靖天戲劇,udp://@230.1.2.163:11111
靖洋戲劇,udp://@224.1.4.107:11111
靖洋戲劇,udp://@230.1.2.240:11111
EYE戲劇,udp://@224.1.4.60:11111
EYE戲劇,udp://@230.1.2.134:11111
東森購物2台,udp://@230.1.2.45:11111
東森購物2台,udp://@224.1.4.169:11111
靖天日本,udp://@224.1.4.103:11111
靖天日本,udp://@230.1.2.221:11111
曼迪日本台,udp://@230.1.2.242:11111
曼迪日本台,udp://@230.1.2.89:11111
MY 101綜合台,udp://@230.1.2.195:11111
MY 101綜合台,udp://@224.1.4.20:11111
索尼動畫Animax台灣,udp://@230.1.2.77:11111
索尼動畫Animax台灣,udp://@224.1.4.237:11111
愛放動漫台,udp://@230.1.2.223:11111
愛放動漫台,udp://@230.1.2.26:11111
韓國tvN,udp://@230.1.2.174:11111
韓國tvN,udp://@224.1.4.111:11111
